2026-06-07 20:23:50.398 +05:00 [WRN] Entity 'ChartOfAccount' has a global query filter defined and is the required end of a relationship with the entity 'JournalEntryLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-07 20:23:50.451 +05:00 [WRN] Entity 'Item' has a global query filter defined and is the required end of a relationship with the entity 'SalesInvoiceLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-07 20:23:50.454 +05:00 [WRN] Entity 'Company' has a global query filter defined and is the required end of a relationship with the entity 'UserCompany'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-07 20:23:50.456 +05:00 [WRN] Entity 'VendorBill' has a global query filter defined and is the required end of a relationship with the entity 'VendorBillLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-07 20:23:50.590 +05:00 [WRN] The 'JournalStatus' property 'Status' on entity type 'JournalEntry' is configured with a database-generated default, but has no configured sentinel value. The database-generated default will always be used for inserts when the property has the value '0', since this is the CLR default for the 'JournalStatus' type. Consider using a nullable type, using a nullable backing field, or setting the sentinel value for the property to ensure the database default is used when, and only when, appropriate. See https://aka.ms/efcore-docs-default-values for more information.
2026-06-07 20:23:51.662 +05:00 [INF] No pending EF migrations.
2026-06-07 20:23:52.410 +05:00 [INF] Company data already exists; ensuring chart of accounts and demo items.
2026-06-07 20:23:52.797 +05:00 [INF] Pakistan Accounting ERP started (Development)
2026-06-07 20:23:53.151 +05:00 [ERR] Database backup failed.
Microsoft.Data.SqlClient.SqlException (0x80131904): Cannot open backup device 'C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\bin\Debug\net8.0\App_Data\Backups\PakistanAccountingERP_20260607_202352.bak'. Operating system error 5(Access is denied.).
BACKUP DATABASE is terminating abnormally.
   at Microsoft.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)
   at Microsoft.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)
   at Microsoft.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)
   at Microsoft.Data.SqlClient.SqlCommand.CompleteAsyncExecuteReader(Boolean isInternal, Boolean forDescribeParameterEncryption)
   at Microsoft.Data.SqlClient.SqlCommand.InternalEndExecuteNonQuery(IAsyncResult asyncResult, Boolean isInternal, String endMethod)
   at Microsoft.Data.SqlClient.SqlCommand.EndExecuteNonQueryInternal(IAsyncResult asyncResult)
   at Microsoft.Data.SqlClient.SqlCommand.EndExecuteNonQueryAsync(IAsyncResult asyncResult)
   at Microsoft.Data.SqlClient.SqlCommand.<>c.<InternalExecuteNonQueryAsync>b__210_1(IAsyncResult result)
   at System.Threading.Tasks.TaskFactory`1.FromAsyncCoreLogic(IAsyncResult iar, Func`2 endFunction, Action`1 endAction, Task`1 promise, Boolean requiresSynchronization)
--- End of stack trace from previous location ---
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 115
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 126
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 126
ClientConnectionId:41ba70ec-ab9d-4547-ad19-42ab4f526e54
Error Number:3201,State:1,Class:16
2026-06-07 20:23:53.321 +05:00 [ERR] Scheduled backup run failed.
System.InvalidOperationException: 'PakistanAccountingERP.Infrastructure.Repositories.UnitOfWork' type only implements IAsyncDisposable. Use DisposeAsync to dispose the container.
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderEngineScope.Dispose()
   at PakistanAccountingERP.Infrastructure.Services.ScheduledBackupHostedService.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\ScheduledBackupHostedService.cs:line 44
2026-06-07 20:23:54.456 +05:00 [INF] HTTP GET / responded 302 in 133.9947 ms
2026-06-07 20:23:54.725 +05:00 [INF] HTTP GET /Account/Login responded 200 in 233.0220 ms
2026-06-07 20:23:54.788 +05:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 304 in 33.1845 ms
2026-06-07 20:23:54.789 +05:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 304 in 35.2883 ms
2026-06-07 20:23:54.788 +05:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 304 in 36.1438 ms
2026-06-07 20:23:54.789 +05:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js responded 304 in 33.0453 ms
2026-06-07 20:23:54.789 +05:00 [INF] HTTP GET /css/auth.css responded 304 in 35.0815 ms
2026-06-07 20:23:54.789 +05:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 304 in 3.2738 ms
2026-06-07 20:24:06.091 +05:00 [INF] HTTP POST /Account/Login responded 302 in 460.2601 ms
2026-06-07 20:24:06.282 +05:00 [INF] HTTP GET / responded 200 in 179.3080 ms
2026-06-07 20:24:06.317 +05:00 [INF] HTTP GET /css/site.css responded 304 in 0.7336 ms
2026-06-07 20:24:06.319 +05:00 [INF] HTTP GET /js/app.js responded 304 in 0.7560 ms
2026-06-07 20:24:06.340 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 200 in 24.3074 ms
2026-06-07 20:24:06.319 +05:00 [INF] HTTP GET /js/dashboard.js responded 304 in 0.7220 ms
2026-06-07 20:24:06.320 +05:00 [INF] HTTP GET /js/site.js responded 304 in 0.5954 ms
2026-06-07 20:24:06.544 +05:00 [INF] HTTP GET /api/company/list responded 200 in 44.3321 ms
2026-06-07 20:24:06.619 +05:00 [INF] HTTP GET /api/company/current responded 200 in 59.6138 ms
2026-06-07 20:24:06.922 +05:00 [INF] HTTP GET /api/dashboard responded 200 in 420.9240 ms
2026-06-07 20:24:15.472 +05:00 [INF] HTTP GET /ChartOfAccounts responded 200 in 33.7371 ms
2026-06-07 20:24:15.508 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.2109 ms
2026-06-07 20:24:15.513 +05:00 [INF] HTTP GET /js/modules/chart-of-accounts.js responded 304 in 0.8499 ms
2026-06-07 20:24:15.620 +05:00 [INF] HTTP GET /api/company/list responded 200 in 13.4877 ms
2026-06-07 20:24:15.646 +05:00 [INF] HTTP GET /api/company/current responded 200 in 9.9806 ms
2026-06-07 20:24:15.666 +05:00 [INF] HTTP GET /api/lookup/account-types responded 200 in 58.2687 ms
2026-06-07 20:24:15.833 +05:00 [INF] HTTP GET /api/chart-of-accounts/tree responded 200 in 140.1763 ms
2026-06-07 20:24:41.903 +05:00 [INF] HTTP DELETE /api/chart-of-accounts/44 responded 400 in 128.5835 ms
2026-06-07 20:26:17.730 +05:00 [INF] HTTP DELETE /api/chart-of-accounts/59 responded 200 in 101.4929 ms
2026-06-07 20:26:17.778 +05:00 [INF] HTTP GET /api/chart-of-accounts/tree responded 200 in 36.8445 ms
2026-06-07 20:26:33.147 +05:00 [INF] HTTP GET /api/chart-of-accounts/122 responded 200 in 48.1197 ms
2026-06-07 20:26:33.180 +05:00 [INF] HTTP GET /api/lookup/sub-account-types responded 200 in 25.1750 ms
2026-06-07 20:26:33.191 +05:00 [INF] HTTP GET /api/lookup/sub-account-types responded 200 in 8.5013 ms
2026-06-07 20:26:33.222 +05:00 [INF] HTTP GET /api/chart-of-accounts/parents responded 200 in 22.5606 ms
2026-06-07 20:27:23.061 +05:00 [INF] HTTP GET /JournalEntries responded 200 in 35.7994 ms
2026-06-07 20:27:23.099 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.2674 ms
2026-06-07 20:27:23.257 +05:00 [INF] HTTP GET /api/company/current responded 200 in 18.0717 ms
2026-06-07 20:27:23.264 +05:00 [INF] HTTP GET /api/company/list responded 200 in 25.9339 ms
2026-06-07 20:27:23.302 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.6983 ms
2026-06-07 20:27:23.403 +05:00 [INF] HTTP GET /api/journal-entries/datatable responded 200 in 110.3451 ms
2026-06-07 20:27:29.642 +05:00 [INF] HTTP GET /JournalEntries/Details/10 responded 200 in 68.9783 ms
2026-06-07 20:27:29.677 +05:00 [INF] HTTP GET /js/modules/journal-entry-details.js responded 304 in 1.3132 ms
2026-06-07 20:27:29.738 +05:00 [INF] HTTP GET /api/company/list responded 200 in 8.0390 ms
2026-06-07 20:27:29.813 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.1440 ms
2026-06-07 20:27:33.990 +05:00 [INF] HTTP GET /JournalEntries responded 200 in 6.4118 ms
2026-06-07 20:27:34.072 +05:00 [INF] HTTP GET /api/company/current responded 200 in 16.0908 ms
2026-06-07 20:27:34.079 +05:00 [INF] HTTP GET /api/company/list responded 200 in 23.6005 ms
2026-06-07 20:27:34.157 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.4910 ms
2026-06-07 20:27:34.174 +05:00 [INF] HTTP GET /api/journal-entries/datatable responded 200 in 25.7769 ms
2026-06-07 20:27:38.231 +05:00 [INF] HTTP GET /Banks responded 200 in 18.8220 ms
2026-06-07 20:27:38.277 +05:00 [INF] HTTP GET /js/modules/banks.js responded 304 in 0.6564 ms
