2026-06-09 15:02:07.511 +05:00 [WRN] Entity 'ChartOfAccount' has a global query filter defined and is the required end of a relationship with the entity 'JournalEntryLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:02:07.580 +05:00 [WRN] Entity 'Item' has a global query filter defined and is the required end of a relationship with the entity 'SalesInvoiceLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:02:07.584 +05:00 [WRN] Entity 'Company' has a global query filter defined and is the required end of a relationship with the entity 'UserCompany'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:02:07.587 +05:00 [WRN] Entity 'VendorBill' has a global query filter defined and is the required end of a relationship with the entity 'VendorBillLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-09 15:02:07.701 +05:00 [WRN] The 'JournalStatus' property 'Status' on entity type 'JournalEntry' is configured with a database-generated default, but has no configured sentinel value. The database-generated default will always be used for inserts when the property has the value '0', since this is the CLR default for the 'JournalStatus' type. Consider using a nullable type, using a nullable backing field, or setting the sentinel value for the property to ensure the database default is used when, and only when, appropriate. See https://aka.ms/efcore-docs-default-values for more information.
2026-06-09 15:02:08.980 +05:00 [INF] No pending EF migrations.
2026-06-09 15:02:09.964 +05:00 [INF] Company data already exists; ensuring chart of accounts and demo items.
2026-06-09 15:02:10.131 +05:00 [INF] Pakistan Accounting ERP started (Development)
2026-06-09 15:02:10.694 +05:00 [ERR] Database backup failed.
Microsoft.Data.SqlClient.SqlException (0x80131904): Cannot open backup device 'C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\bin\Debug\net8.0\App_Data\Backups\PakistanAccountingERP_20260609_150210.bak'. Operating system error 5(Access is denied.).
BACKUP DATABASE is terminating abnormally.
   at Microsoft.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)
   at Microsoft.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)
   at Microsoft.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)
   at Microsoft.Data.SqlClient.SqlCommand.CompleteAsyncExecuteReader(Boolean isInternal, Boolean forDescribeParameterEncryption)
   at Microsoft.Data.SqlClient.SqlCommand.InternalEndExecuteNonQuery(IAsyncResult asyncResult, Boolean isInternal, String endMethod)
   at Microsoft.Data.SqlClient.SqlCommand.EndExecuteNonQueryInternal(IAsyncResult asyncResult)
   at Microsoft.Data.SqlClient.SqlCommand.EndExecuteNonQueryAsync(IAsyncResult asyncResult)
   at Microsoft.Data.SqlClient.SqlCommand.<>c.<InternalExecuteNonQueryAsync>b__210_1(IAsyncResult result)
   at System.Threading.Tasks.TaskFactory`1.FromAsyncCoreLogic(IAsyncResult iar, Func`2 endFunction, Action`1 endAction, Task`1 promise, Boolean requiresSynchronization)
--- End of stack trace from previous location ---
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 115
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 126
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 126
ClientConnectionId:6afdaee1-f0a5-4a9f-af97-63a71b6f2df3
Error Number:3201,State:1,Class:16
2026-06-09 15:02:10.885 +05:00 [ERR] Scheduled backup run failed.
System.InvalidOperationException: 'PakistanAccountingERP.Infrastructure.Repositories.UnitOfWork' type only implements IAsyncDisposable. Use DisposeAsync to dispose the container.
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderEngineScope.Dispose()
   at PakistanAccountingERP.Infrastructure.Services.ScheduledBackupHostedService.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\ScheduledBackupHostedService.cs:line 44
2026-06-09 15:02:12.166 +05:00 [INF] HTTP GET / responded 302 in 123.0034 ms
2026-06-09 15:02:12.456 +05:00 [INF] HTTP GET /Account/Login responded 200 in 256.9741 ms
2026-06-09 15:02:12.508 +05:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 304 in 18.9548 ms
2026-06-09 15:02:12.508 +05:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js responded 304 in 17.0100 ms
2026-06-09 15:02:12.508 +05:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 304 in 19.6696 ms
2026-06-09 15:02:12.508 +05:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 304 in 21.4619 ms
2026-06-09 15:02:12.508 +05:00 [INF] HTTP GET /css/auth.css responded 304 in 21.3579 ms
2026-06-09 15:02:12.508 +05:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 304 in 20.4042 ms
2026-06-09 15:02:47.565 +05:00 [INF] HTTP POST /Account/Login responded 302 in 421.3458 ms
2026-06-09 15:02:47.661 +05:00 [INF] HTTP GET /Account/SelectCompany responded 200 in 83.9793 ms
2026-06-09 15:02:49.323 +05:00 [INF] HTTP POST /Account/SelectCompany responded 302 in 38.2035 ms
2026-06-09 15:02:49.547 +05:00 [INF] HTTP GET / responded 200 in 214.2974 ms
2026-06-09 15:02:49.578 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.2463 ms
2026-06-09 15:02:49.586 +05:00 [INF] HTTP GET /js/dashboard.js responded 304 in 0.2631 ms
2026-06-09 15:02:49.582 +05:00 [INF] HTTP GET /js/site.js responded 304 in 0.9209 ms
2026-06-09 15:02:49.673 +05:00 [INF] HTTP GET /js/app.js responded 200 in 91.3533 ms
2026-06-09 15:02:49.673 +05:00 [INF] HTTP GET /css/site.css responded 200 in 95.7127 ms
2026-06-09 15:02:49.890 +05:00 [INF] HTTP GET /api/company/list responded 200 in 49.7939 ms
2026-06-09 15:02:49.929 +05:00 [INF] HTTP GET /api/company/current responded 200 in 26.7530 ms
2026-06-09 15:02:50.298 +05:00 [INF] HTTP GET /api/dashboard responded 200 in 455.6932 ms
2026-06-09 15:02:52.188 +05:00 [INF] HTTP POST /api/company/switch/3 responded 200 in 15.9236 ms
2026-06-09 15:02:52.231 +05:00 [INF] HTTP GET / responded 200 in 24.8252 ms
2026-06-09 15:02:52.323 +05:00 [INF] HTTP GET /api/company/list responded 200 in 16.7799 ms
2026-06-09 15:02:52.388 +05:00 [INF] HTTP GET /api/dashboard responded 200 in 73.1801 ms
2026-06-09 15:02:52.420 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.5883 ms
2026-06-09 15:02:52.447 +05:00 [INF] HTTP GET /favicon.ico responded 304 in 0.3472 ms
2026-06-09 15:02:54.985 +05:00 [INF] HTTP GET /SalesInvoices/Create responded 200 in 26.2846 ms
2026-06-09 15:02:55.024 +05:00 [INF] HTTP GET /js/modules/lot-stack-line-helper.js responded 200 in 3.7550 ms
2026-06-09 15:02:55.034 +05:00 [INF] HTTP GET /js/modules/sales-invoice-create.js responded 200 in 5.9240 ms
2026-06-09 15:02:55.104 +05:00 [INF] HTTP GET /api/company/list responded 200 in 16.5639 ms
2026-06-09 15:02:55.115 +05:00 [INF] HTTP GET /api/company/current responded 200 in 21.8663 ms
2026-06-09 15:02:55.199 +05:00 [INF] HTTP GET /api/company/current responded 200 in 25.2120 ms
2026-06-09 15:02:55.234 +05:00 [INF] HTTP GET /api/lookup/scenario-types responded 200 in 55.9114 ms
2026-06-09 15:02:55.329 +05:00 [INF] HTTP GET /api/sales-invoices/tax-rates responded 200 in 149.7379 ms
2026-06-09 15:02:55.336 +05:00 [INF] HTTP GET /api/sales-invoices/next-invoice-number responded 200 in 160.0637 ms
2026-06-09 15:02:55.335 +05:00 [INF] HTTP GET /api/lookup/lot-numbers responded 200 in 155.3578 ms
2026-06-09 15:02:55.403 +05:00 [INF] HTTP GET /api/sales-invoices/customers responded 200 in 224.7321 ms
2026-06-09 15:02:55.406 +05:00 [INF] HTTP GET /api/sales-invoices/items responded 200 in 227.6552 ms
2026-06-09 15:02:55.570 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 112.5740 ms
2026-06-09 15:03:27.436 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 46.3164 ms
2026-06-09 15:03:27.919 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 170.3251 ms
2026-06-09 15:03:52.848 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 404 in 18.5018 ms
2026-06-09 15:04:13.104 +05:00 [INF] HTTP GET /SalesInvoices responded 200 in 35.7353 ms
2026-06-09 15:04:13.152 +05:00 [INF] HTTP GET /css/site.css responded 304 in 0.2935 ms
2026-06-09 15:04:13.161 +05:00 [INF] HTTP GET /js/app.js responded 304 in 0.4450 ms
2026-06-09 15:04:13.164 +05:00 [INF] HTTP GET /js/modules/sales-invoices.js responded 304 in 1.7000 ms
2026-06-09 15:04:13.174 +05:00 [INF] HTTP GET /js/modules/sales-invoice-fbr.js responded 304 in 1.1591 ms
2026-06-09 15:04:13.298 +05:00 [INF] HTTP GET /api/company/current responded 200 in 13.2383 ms
2026-06-09 15:04:13.298 +05:00 [INF] HTTP GET /api/company/list responded 200 in 16.2125 ms
