2026-06-10 09:44:18.405 +05:00 [WRN] Entity 'ChartOfAccount' has a global query filter defined and is the required end of a relationship with the entity 'JournalEntryLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-10 09:44:18.467 +05:00 [WRN] Entity 'Item' has a global query filter defined and is the required end of a relationship with the entity 'SalesInvoiceLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-10 09:44:18.470 +05:00 [WRN] Entity 'Company' has a global query filter defined and is the required end of a relationship with the entity 'UserCompany'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-10 09:44:18.473 +05:00 [WRN] Entity 'VendorBill' has a global query filter defined and is the required end of a relationship with the entity 'VendorBillLine'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-10 09:44:18.583 +05:00 [WRN] The 'JournalStatus' property 'Status' on entity type 'JournalEntry' is configured with a database-generated default, but has no configured sentinel value. The database-generated default will always be used for inserts when the property has the value '0', since this is the CLR default for the 'JournalStatus' type. Consider using a nullable type, using a nullable backing field, or setting the sentinel value for the property to ensure the database default is used when, and only when, appropriate. See https://aka.ms/efcore-docs-default-values for more information.
2026-06-10 09:44:19.808 +05:00 [INF] No pending EF migrations.
2026-06-10 09:44:20.569 +05:00 [INF] Company data already exists; ensuring chart of accounts and demo items.
2026-06-10 09:44:21.014 +05:00 [INF] Pakistan Accounting ERP started (Development)
2026-06-10 09:44:21.378 +05:00 [ERR] Database backup failed.
Microsoft.Data.SqlClient.SqlException (0x80131904): Cannot open backup device 'C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Web\bin\Debug\net8.0\App_Data\Backups\PakistanAccountingERP_20260610_094421.bak'. Operating system error 5(Access is denied.).
BACKUP DATABASE is terminating abnormally.
   at Microsoft.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)
   at Microsoft.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)
   at Microsoft.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)
   at Microsoft.Data.SqlClient.SqlCommand.CompleteAsyncExecuteReader(Boolean isInternal, Boolean forDescribeParameterEncryption)
   at Microsoft.Data.SqlClient.SqlCommand.InternalEndExecuteNonQuery(IAsyncResult asyncResult, Boolean isInternal, String endMethod)
   at Microsoft.Data.SqlClient.SqlCommand.EndExecuteNonQueryInternal(IAsyncResult asyncResult)
   at Microsoft.Data.SqlClient.SqlCommand.EndExecuteNonQueryAsync(IAsyncResult asyncResult)
   at Microsoft.Data.SqlClient.SqlCommand.<>c.<InternalExecuteNonQueryAsync>b__210_1(IAsyncResult result)
   at System.Threading.Tasks.TaskFactory`1.FromAsyncCoreLogic(IAsyncResult iar, Func`2 endFunction, Action`1 endAction, Task`1 promise, Boolean requiresSynchronization)
--- End of stack trace from previous location ---
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 115
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 126
   at PakistanAccountingERP.Infrastructure.Services.DatabaseBackupService.RunBackupAsync(JobRunType runType, CancellationToken cancellationToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\DatabaseBackupService.cs:line 126
ClientConnectionId:301532ae-13d7-4e9c-8cde-84a3f22ed13c
Error Number:3201,State:1,Class:16
2026-06-10 09:44:21.519 +05:00 [ERR] Scheduled backup run failed.
System.InvalidOperationException: 'PakistanAccountingERP.Infrastructure.Repositories.UnitOfWork' type only implements IAsyncDisposable. Use DisposeAsync to dispose the container.
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderEngineScope.Dispose()
   at PakistanAccountingERP.Infrastructure.Services.ScheduledBackupHostedService.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\ScheduledBackupHostedService.cs:line 44
2026-06-10 09:44:24.557 +05:00 [INF] HTTP GET / responded 302 in 214.5742 ms
2026-06-10 09:44:25.008 +05:00 [INF] HTTP GET /Account/Login responded 200 in 392.7837 ms
2026-06-10 09:44:25.071 +05:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 304 in 19.5744 ms
2026-06-10 09:44:25.071 +05:00 [INF] HTTP GET /css/auth.css responded 304 in 22.7513 ms
2026-06-10 09:44:25.071 +05:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 304 in 23.5919 ms
2026-06-10 09:44:25.072 +05:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 304 in 22.8268 ms
2026-06-10 09:44:25.071 +05:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js responded 304 in 16.8763 ms
2026-06-10 09:44:25.071 +05:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 304 in 10.5490 ms
2026-06-10 09:44:41.455 +05:00 [INF] HTTP POST /Account/Login responded 302 in 395.9092 ms
2026-06-10 09:44:41.528 +05:00 [INF] HTTP GET /Account/SelectCompany responded 200 in 62.2113 ms
2026-06-10 09:44:42.738 +05:00 [INF] HTTP POST /Account/SelectCompany responded 302 in 35.1698 ms
2026-06-10 09:44:43.031 +05:00 [INF] HTTP GET / responded 200 in 282.1982 ms
2026-06-10 09:44:43.061 +05:00 [INF] HTTP GET /css/site.css responded 304 in 0.2769 ms
2026-06-10 09:44:43.061 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.2462 ms
2026-06-10 09:44:43.077 +05:00 [INF] HTTP GET /js/app.js responded 304 in 0.4428 ms
2026-06-10 09:44:43.080 +05:00 [INF] HTTP GET /js/dashboard.js responded 304 in 1.7797 ms
2026-06-10 09:44:43.077 +05:00 [INF] HTTP GET /js/site.js responded 304 in 0.4160 ms
2026-06-10 09:44:43.317 +05:00 [INF] HTTP GET /api/company/list responded 200 in 48.7864 ms
2026-06-10 09:44:43.361 +05:00 [INF] HTTP GET /api/company/current responded 200 in 22.7987 ms
2026-06-10 09:44:43.853 +05:00 [INF] HTTP GET /api/dashboard responded 200 in 573.2836 ms
2026-06-10 09:50:01.492 +05:00 [INF] HTTP GET /VendorBills/Create responded 200 in 99.6168 ms
2026-06-10 09:50:01.533 +05:00 [INF] HTTP GET /js/modules/lot-stack-line-helper.js responded 304 in 1.2677 ms
2026-06-10 09:50:01.574 +05:00 [INF] HTTP GET /js/modules/vendor-bill-create.js responded 200 in 45.5254 ms
2026-06-10 09:50:01.660 +05:00 [INF] HTTP GET /api/company/current responded 200 in 15.7621 ms
2026-06-10 09:50:01.679 +05:00 [INF] HTTP GET /api/company/list responded 200 in 37.3131 ms
2026-06-10 09:50:01.812 +05:00 [INF] HTTP GET /api/vendor-bills/next-bill-number responded 200 in 96.6528 ms
2026-06-10 09:50:01.816 +05:00 [INF] HTTP GET /api/company/current responded 200 in 47.1302 ms
2026-06-10 09:50:01.854 +05:00 [INF] HTTP GET /api/vendor-bills/vendors responded 200 in 116.0758 ms
2026-06-10 09:50:01.858 +05:00 [INF] HTTP GET /api/vendor-bills/items responded 200 in 120.4897 ms
2026-06-10 09:50:01.932 +05:00 [INF] HTTP GET /api/lookup/lot-numbers responded 200 in 173.6113 ms
2026-06-10 09:50:01.980 +05:00 [INF] HTTP GET /api/sales-invoices/tax-rates responded 200 in 223.0916 ms
2026-06-10 09:50:02.113 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 62.7068 ms
2026-06-10 09:50:23.865 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 73.5395 ms
2026-06-10 09:50:24.311 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 135.2501 ms
2026-06-10 09:50:30.630 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 11.8932 ms
2026-06-10 09:50:35.246 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 9.1091 ms
2026-06-10 09:50:36.465 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 8.5812 ms
2026-06-10 09:50:45.382 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 10.1664 ms
2026-06-10 09:50:45.700 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 8.4096 ms
2026-06-10 09:50:51.811 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 8.0915 ms
2026-06-10 09:50:52.512 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 9.1712 ms
2026-06-10 09:50:54.304 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 9.0626 ms
2026-06-10 09:50:55.925 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 8.0093 ms
2026-06-10 09:51:05.608 +05:00 [INF] HTTP GET /api/lookup/lot-detail responded 200 in 49.8517 ms
2026-06-10 09:51:06.020 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 86.7734 ms
2026-06-10 09:51:19.409 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 31.2001 ms
2026-06-10 09:51:22.038 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 11.1527 ms
2026-06-10 09:51:23.250 +05:00 [INF] HTTP GET /api/lookup/stack-availability responded 200 in 9.1174 ms
